s_no,dates,Deaths,New case,Recovered
1,1/31/2020,0,0,0
2,2/10/2020,0,2,0
3,2/20/2020,0,0,0
4,2/29/2020,0,0,0
5,3/10/2020,0,22,3
6,3/20/2020,5,130,19
7,3/30/2020,25,863,104
8,4/10/2020,169,5338,383
9,4/20/2020,338,10860,2043
10,4/30/2020,531,15786,5778
11,5/10/2020,1030,29888,11033
12,5/20/2020,1188,42715,22940
13,5/31/2020,1835,70994,44686
14,6/10/2020,2773,90704,48222
15,6/20/2020,5199,118218,78449
16,6/30/2020,3942,174053,120991
17,7/10/2020,4651,229805,160694
18,7/20/2020,5820,323926,201941
19,7/31/2020,8330,525303,360348
20,8/6/2020,4857,325666,270541
