Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,New cases,New Death,New recovered
1/30/2020,Kerala,10.8505,76.2711,1,0,0,0,0,0
1/31/2020,Kerala,10.8505,76.2711,1,0,0,0,0,0
2/1/2020,Kerala,10.8505,76.2711,2,0,0,1,0,0
2/2/2020,Kerala,10.8505,76.2711,3,0,0,1,0,0
2/3/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/4/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/5/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/6/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/7/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/8/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/9/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/10/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/11/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/12/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/13/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/14/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/15/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/16/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/17/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/18/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/19/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/20/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/21/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/22/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/23/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/24/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/25/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/26/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/27/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/28/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
2/29/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
3/1/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
3/2/2020,Delhi,28.7041,77.1025,1,0,0,0,0,0
3/2/2020,Kerala,10.8505,76.2711,3,0,0,0,0,0
3/2/2020,Telengana,18.1124,79.0193,1,0,0,0,0,0
3/3/2020,Delhi,28.7041,77.1025,1,0,0,0,0,0
3/3/2020,Kerala,10.8505,76.2711,3,0,3,0,0,3
3/3/2020,Telengana,18.1124,79.0193,1,0,0,0,0,0
3/4/2020,Delhi,28.7041,77.1025,1,0,0,0,0,0
3/4/2020,Haryana,29.0588,76.0856,14,0,0,0,0,0
3/4/2020,Kerala,10.8505,76.2711,3,0,3,0,0,0
3/4/2020,Rajasthan,27.0238,74.2179,1,0,0,0,0,0
3/4/2020,Telengana,18.1124,79.0193,1,0,0,0,0,0
3/4/2020,Uttar Pradesh,26.8467,80.9462,6,0,0,0,0,0
3/5/2020,Delhi,28.7041,77.1025,2,0,0,1,0,0
3/5/2020,Haryana,29.0588,76.0856,14,0,0,0,0,0
3/5/2020,Kerala,10.8505,76.2711,3,0,3,0,0,0
3/5/2020,Rajasthan,27.0238,74.2179,1,0,0,0,0,0
3/5/2020,Telengana,18.1124,79.0193,1,0,0,0,0,0
3/5/2020,Uttar Pradesh,26.8467,80.9462,7,0,0,1,0,0
3/6/2020,Delhi,28.7041,77.1025,3,0,0,1,0,0
3/6/2020,Haryana,29.0588,76.0856,14,0,0,0,0,0
3/6/2020,Kerala,10.8505,76.2711,3,0,3,0,0,0
